"","Site","Tissue","PCT.AG","ag.logit.z","PCT.DEV","dev.logit.z","BMP","BMP.z","Observation","Total_PCB","Pentachlorobenzene","Heptachlor","p,p'-DDE","o,p'-DDT","Galaxolide","Tonalide","Carbazole","Chlorpyrifos","Diazinon","Dichlorvos","Metalaxyl","Prometon","Diethyl phthalate","Diethylhexylphthalate (DEHP)","Tributyl phosphate (TBP)","Tris(2-chloroethyl)phosphate (TCEP)","Tris(1,3-dichloro-2-propyl)phosphate (TDCPP)","Triphenyl phosphate (TPP)","1-methyl naphthalene","2,6-dimethyl naphthalene","2-methyl naphthalene","Anthracene","Benzo[a]pyrene","Fluoranthene","Naphthalene","Phenanthrene","Pyrene","Acetophenone","Anthraquinone","Benzophenone","Caffeine","Camphor","Cotinine","Ethyl citrate","Indole","Isophorone","Menthol","Methyl salicylate","Methyl Triclosan","N,N-diethyltoluamide (DEET)","p-Octylphenol"
"107","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,107,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,108,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,109,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"110","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,110,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"111","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,111,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"112","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"113","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,113,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,114,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"115","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,115,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"116","WBM","YOY",0.2031134173,-0.132039662054495,0.100074129,-0.280102395140961,0.002764,-0.445227833560147,116,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"117","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,117,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"118","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,118,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,119,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"120","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,120,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,121,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"122","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,122,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"123","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,123,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,124,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","ANT","YOY",0.6362811791,1.09475596588008,0.2142101285,0.562706636718995,0.00296,-0.299728072005141,126,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,157,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,158,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"159","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,159,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,160,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"161","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,161,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,162,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"163","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,163,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"164","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,164,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"165","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,165,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"166","BE","YOY",0.09188749209,-0.720440462850346,0.3779506195,1.31604046141245,0.004665,0.965971384378968,166,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0
"167","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,167,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"168","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,168,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
"169","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,169,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"170","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,170,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"171","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,171,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"172","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,172,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
"173","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,173,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
"174","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,174,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"175","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,175,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"176","WBMC","YOY",0.2912837087,0.172263525644874,0.1632158368,0.24805397690843,0.003341,-0.0168943518395421,176,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
